基金全称,华商改革创新股票型证券投资基金,基金简称,华商改革创新股票C
基金代码,016052（前端）基金类型股票型,基金类型,股票型
发行日期,2017年12月28日,成立日期/规模,2022年07月07日 / --
资产规模,0.19亿元（截止至：2025年06月30日）份额规模0.0868亿份（截止至：2025年06月30日）,份额规模,0.0868亿份（截止至：2025年06月30日）
基金管理人,华商基金,基金托管人,建设银行
基金经理人,刘力,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*80%+上证国债指数收益率*20%,跟踪标的,该基金无跟踪标的
